Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Risk
no checking account,18,delay in paying off in the past,business,2169,less than 100 DM,between 1 to 4 years,4,male : married/widowed,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
less than 0 DM,24,existing credits paid back duly till now,radio/television,2439,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
no checking account,27,critical account/other credits existing (not at this bank),furniture/equipment,4526,more than 1000 DM,less than 1 year,4,male : single,none,2,real estate,32,stores,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,Good
no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,less than 100 DM,between 1 to 4 years,2,male : single,none,2,real estate,25,bank,rent,1,unskilled - resident,1,none,yes,Bad
no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,between 500 to 1000 DM,between 1 to 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes,Good
less than 0 DM,18,existing credits paid back duly till now,radio/television,2389,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,1,"car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,none,yes,Good
no checking account,12,critical account/other credits existing (not at this bank),furniture/equipment,3331,less than 100 DM,more than 7 years,2,male : single,none,4,building society savings agreement/life insurance,42,stores,own,1,skilled employee / official,1,none,yes,Good
no checking account,36,existing credits paid back duly till now,business,7409,unknown/ no savings account,more than 7 years,3,male : single,none,2,building society savings agreement/life insurance,37,none,own,2,skilled employee / official,1,none,yes,Good
less than 0 DM,12,existing credits paid back duly till now,furniture/equipment,652,less than 100 DM,more than 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee / official,1,none,yes,Good
no checking account,36,delay in paying off in the past,furniture/equipment,7678,between 500 to 1000 DM,between 4 to 7 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
more than 200 DM / salary assignments for at least 1 year,6,critical account/other credits existing (not at this bank),car (new),1343,less than 100 DM,more than 7 years,1,male : single,none,4,real estate,46,none,own,2,skilled employee / official,2,none,no,Good
less than 0 DM,24,critical account/other credits existing (not at this bank),business,1382,between 100 to 500 DM,between 4 to 7 years,4,male : single,none,1,real estate,26,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/ no savings account,less than 1 year,4,female : divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,less than 100 DM,between 1 to 4 years,2,male : single,co-applicant,2,building society savings agreement/life insurance,29,none,own,1,unskilled - resident,2,none,yes,Good
between 0 to 200 DM,11,critical account/other credits existing (not at this bank),car (new),1322,more than 1000 DM,between 1 to 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,none,yes,Good
less than 0 DM,18,all credits at this bank paid back duly,radio/television,1940,less than 100 DM,less than 1 year,3,male : single,co-applicant,4,unknown / no property,36,bank,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
no checking account,36,existing credits paid back duly till now,radio/television,3595,less than 100 DM,more than 7 years,4,male : single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,9,existing credits paid back duly till now,car (new),1422,less than 100 DM,less than 1 year,3,male : single,none,2,unknown / no property,27,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Bad
no checking account,30,critical account/other credits existing (not at this bank),radio/television,6742,unknown/ no savings account,between 4 to 7 years,2,male : single,none,3,building society savings agreement/life insurance,36,none,own,2,skilled employee / official,1,none,yes,Good
no checking account,24,existing credits paid back duly till now,car (used),7814,less than 100 DM,between 4 to 7 years,3,male : single,none,3,"car or other, not in attribute 6",38,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
no checking account,24,existing credits paid back duly till now,car (used),9277,unknown/ no savings account,between 1 to 4 years,2,male : divorced/separated,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,30,critical account/other credits existing (not at this bank),car (new),2181,unknown/ no savings account,more than 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,Good
no checking account,18,critical account/other credits existing (not at this bank),radio/television,1098,less than 100 DM,unemployed,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",65,none,own,2,unemployed/ unskilled  - non-resident,1,none,yes,Good
between 0 to 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,less than 100 DM,between 4 to 7 years,3,male : divorced/separated,none,3,"car or other, not in attribute 6",43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
less than 0 DM,12,existing credits paid back duly till now,education,795,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,53,none,own,1,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,24,critical account/other credits existing (not at this bank),business,2825,unknown/ no savings account,between 4 to 7 years,4,male : single,none,3,unknown / no property,34,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,48,existing credits paid back duly till now,business,15672,less than 100 DM,between 1 to 4 years,2,male : single,none,2,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
no checking account,36,critical account/other credits existing (not at this bank),car (new),6614,less than 100 DM,more than 7 years,4,male : single,none,4,"car or other, not in attribute 6",34,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/ no savings account,less than 1 year,3,male : single,gaurantor,4,real estate,40,bank,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,Good
less than 0 DM,27,critical account/other credits existing (not at this bank),business,2442,less than 100 DM,more than 7 years,4,male : single,none,4,"car or other, not in attribute 6",43,stores,own,4,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,Good
no checking account,15,critical account/other credits existing (not at this bank),radio/television,1829,less than 100 DM,more than 7 years,4,male : single,none,4,"car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,12,critical account/other credits existing (not at this bank),car (new),2171,less than 100 DM,between 1 to 4 years,4,male : single,none,4,building society savings agreement/life insurance,38,bank,own,2,unskilled - resident,1,none,no,Good
between 0 to 200 DM,36,critical account/other credits existing (not at this bank),car (used),5800,less than 100 DM,between 1 to 4 years,3,male : single,none,4,"car or other, not in attribute 6",34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,18,critical account/other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,between 1 to 4 years,4,male : single,none,3,building society savings agreement/life insurance,29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,between 4 to 7 years,3,male : single,none,2,"car or other, not in attribute 6",31,stores,own,1,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,Good
less than 0 DM,21,existing credits paid back duly till now,radio/television,2606,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,28,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
